******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_labelsmooth0-4_ssp', label_smooth=True, label_weighted=False, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_labelsmooth0-4_ssp-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': 'exp/reduce_ssp-resnet50.yaml/ssp_final'}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': 0.1, 'WEIGHTED': False}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'SSP': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
Loading model from exp/reduce_ssp-resnet50.yaml/ssp_final...
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.15572440 | acc:0.9717
############# Starting Epoch 1 | LR: 0.0009997532801828658 #############
Train-1 epoch | loss:0.07206008 | acc:0.9933
##### Epoch 1 | test_acc: 0.9807 #####
############# Starting Epoch 2 | LR: 0.0009990133642141358 #############
Train-2 epoch | loss:0.06367842 | acc:0.9954
############# Starting Epoch 3 | LR: 0.00099778098230154 #############
Train-3 epoch | loss:0.06599960 | acc:0.9953
##### Epoch 3 | test_acc: 0.9803 #####
############# Starting Epoch 4 | LR: 0.000996057350657239 #############
Train-4 epoch | loss:0.05565489 | acc:0.9979
############# Starting Epoch 5 | LR: 0.0009938441702975688 #############
Train-5 epoch | loss:0.05711035 | acc:0.9973
##### Epoch 5 | test_acc: 0.9829 #####
############# Starting Epoch 6 | LR: 0.0009911436253643444 #############
Train-6 epoch | loss:0.05646965 | acc:0.9978
############# Starting Epoch 7 | LR: 0.0009879583809693736 #############
Train-7 epoch | loss:0.05006920 | acc:0.9994
##### Epoch 7 | test_acc: 0.9898 #####
############# Starting Epoch 8 | LR: 0.0009842915805643154 #############
Train-8 epoch | loss:0.05217172 | acc:0.9987
############# Starting Epoch 9 | LR: 0.0009801468428384714 #############
Train-9 epoch | loss:0.05808314 | acc:0.9970
##### Epoch 9 | test_acc: 0.9761 #####
############# Starting Epoch 10 | LR: 0.0009755282581475767 #############
Train-10 epoch | loss:0.05508724 | acc:0.9977
############# Starting Epoch 11 | LR: 0.0009704403844771127 #############
Train-11 epoch | loss:0.05648399 | acc:0.9978
##### Epoch 11 | test_acc: 0.986 #####
############# Starting Epoch 12 | LR: 0.0009648882429441257 #############
Train-12 epoch | loss:0.04967336 | acc:0.9995
############# Starting Epoch 13 | LR: 0.0009588773128419905 #############
Train-13 epoch | loss:0.04883902 | acc:0.9996
##### Epoch 13 | test_acc: 0.9882 #####
############# Starting Epoch 14 | LR: 0.0009524135262330098 #############
Train-14 epoch | loss:0.05009814 | acc:0.9993
############# Starting Epoch 15 | LR: 0.0009455032620941839 #############
Train-15 epoch | loss:0.05551338 | acc:0.9977
##### Epoch 15 | test_acc: 0.9824 #####
