******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_labelweighted', label_smooth=False, label_weighted=True, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_labelweighted-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': ''}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': None, 'WEIGHTED': True}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.40706760 | acc:0.8738
############# Starting Epoch 1 | LR: 0.0009997532801828658 #############
Train-1 epoch | loss:0.09776167 | acc:0.9662
##### Epoch 1 | test_acc: 0.948 #####
############# Starting Epoch 2 | LR: 0.0009990133642141358 #############
Train-2 epoch | loss:0.14939672 | acc:0.9579
############# Starting Epoch 3 | LR: 0.00099778098230154 #############
Train-3 epoch | loss:0.08236160 | acc:0.9748
##### Epoch 3 | test_acc: 0.9775 #####
############# Starting Epoch 4 | LR: 0.000996057350657239 #############
Train-4 epoch | loss:0.04319738 | acc:0.9844
############# Starting Epoch 5 | LR: 0.0009938441702975688 #############
Train-5 epoch | loss:0.01725697 | acc:0.9924
##### Epoch 5 | test_acc: 0.9834 #####
############# Starting Epoch 6 | LR: 0.0009911436253643444 #############
Train-6 epoch | loss:0.00829488 | acc:0.9962
############# Starting Epoch 7 | LR: 0.0009879583809693736 #############
Train-7 epoch | loss:0.09115711 | acc:0.9754
##### Epoch 7 | test_acc: 0.969 #####
############# Starting Epoch 8 | LR: 0.0009842915805643154 #############
Train-8 epoch | loss:0.07682696 | acc:0.9767
############# Starting Epoch 9 | LR: 0.0009801468428384714 #############
Train-9 epoch | loss:0.03436091 | acc:0.9856
