******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_labelsmooth0-4_label_weighted', label_smooth=True, label_weighted=True, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_labelsmooth0-4_label_weighted-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': ''}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': 0.1, 'WEIGHTED': True}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'SSP': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.63694452 | acc:0.8922
############# Starting Epoch 1 | LR: 0.0009997532801828658 #############
Train-1 epoch | loss:0.35352306 | acc:0.9737
##### Epoch 1 | test_acc: 0.9657 #####
############# Starting Epoch 2 | LR: 0.0009990133642141358 #############
Train-2 epoch | loss:0.29834687 | acc:0.9874
############# Starting Epoch 3 | LR: 0.00099778098230154 #############
Train-3 epoch | loss:0.28182820 | acc:0.9925
##### Epoch 3 | test_acc: 0.9838 #####
############# Starting Epoch 4 | LR: 0.000996057350657239 #############
Train-4 epoch | loss:0.26409589 | acc:0.9957
############# Starting Epoch 5 | LR: 0.0009938441702975688 #############
Train-5 epoch | loss:0.25084814 | acc:0.9983
##### Epoch 5 | test_acc: 0.9886 #####
############# Starting Epoch 6 | LR: 0.0009911436253643444 #############
Train-6 epoch | loss:0.25371026 | acc:0.9984
############# Starting Epoch 7 | LR: 0.0009879583809693736 #############
Train-7 epoch | loss:0.33489281 | acc:0.9771
##### Epoch 7 | test_acc: 0.9848 #####
############# Starting Epoch 8 | LR: 0.0009842915805643154 #############
Train-8 epoch | loss:0.30205926 | acc:0.9848
############# Starting Epoch 9 | LR: 0.0009801468428384714 #############
Train-9 epoch | loss:0.27016933 | acc:0.9932
##### Epoch 9 | test_acc: 0.9869 #####
############# Starting Epoch 10 | LR: 0.0009755282581475767 #############
Train-10 epoch | loss:0.25946131 | acc:0.9950
############# Starting Epoch 11 | LR: 0.0009704403844771127 #############
Train-11 epoch | loss:0.25253944 | acc:0.9975
##### Epoch 11 | test_acc: 0.9903 #####
############# Starting Epoch 12 | LR: 0.0009648882429441257 #############
Train-12 epoch | loss:0.24818707 | acc:0.9993
############# Starting Epoch 13 | LR: 0.0009588773128419905 #############
Train-13 epoch | loss:0.24818733 | acc:0.9998
##### Epoch 13 | test_acc: 0.9901 #####
############# Starting Epoch 14 | LR: 0.0009524135262330098 #############
Train-14 epoch | loss:0.24841693 | acc:1.0000
############# Starting Epoch 15 | LR: 0.0009455032620941839 #############
Train-15 epoch | loss:0.24714994 | acc:1.0000
##### Epoch 15 | test_acc: 0.991 #####
############# Starting Epoch 16 | LR: 0.0009381533400219318 #############
Train-16 epoch | loss:0.24775213 | acc:1.0000
############# Starting Epoch 17 | LR: 0.0009303710135019719 #############
