******************************
Namespace(cfg='config/resnet50.yaml', device='gpu:0', exp_id='reduce_label_weighted_labelsmooth0-4_ssp', label_smooth=True, label_weighted=True, nThreads=80, reduce_dataset=True, snapshot=2, ssp=False, sync=True, work_dir='./exp/reduce_label_weighted_labelsmooth0-4_ssp-resnet50.yaml/')
******************************
{'MODEL': {'TYPE': 'resnet50', 'PRETRAINED': '', 'TRY_LOAD': 'exp/reduce_ssp-resnet50.yaml/ssp_final'}, 'LOSS': {'TYPE': 'CrossEntropy', 'EPSILON': 0.1, 'WEIGHTED': True}, 'TRAIN': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'SSP': {'BATCH_SIZE': 200, 'BEGIN_EPOCH': 0, 'END_EPOCH': 40, 'OPTIMIZER': 'adam', 'LR': 0.001, 'LR_SCHEDULER': {'TYPE': 'cosineannealing', 'T_MAX': 100}}, 'FILE_NAME': 'resnet50.yaml'}
******************************
Loading model from exp/reduce_ssp-resnet50.yaml/ssp_final...
############# Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.44968146 | acc:0.9537
############# Starting Epoch 1 | LR: 0.0009997532801828658 #############
Train-1 epoch | loss:0.28978762 | acc:0.9887
##### Epoch 1 | test_acc: 0.9851 #####
############# Starting Epoch 2 | LR: 0.0009990133642141358 #############
Train-2 epoch | loss:0.27329644 | acc:0.9918
############# Starting Epoch 3 | LR: 0.00099778098230154 #############
Train-3 epoch | loss:0.27314670 | acc:0.9916
##### Epoch 3 | test_acc: 0.9908 #####
############# Starting Epoch 4 | LR: 0.000996057350657239 #############
Train-4 epoch | loss:0.25928499 | acc:0.9959
############# Starting Epoch 5 | LR: 0.0009938441702975688 #############
Train-5 epoch | loss:0.28222667 | acc:0.9884
##### Epoch 5 | test_acc: 0.9833 #####
############# Starting Epoch 6 | LR: 0.0009911436253643444 #############
Train-6 epoch | loss:0.27105054 | acc:0.9913
############# Starting Epoch 7 | LR: 0.0009879583809693736 #############
Train-7 epoch | loss:0.25958376 | acc:0.9951
##### Epoch 7 | test_acc: 0.9911 #####
############# Starting Epoch 8 | LR: 0.0009842915805643154 #############
Train-8 epoch | loss:0.25161441 | acc:0.9985
############# Starting Epoch 9 | LR: 0.0009801468428384714 #############
Train-9 epoch | loss:0.25033727 | acc:0.9987
##### Epoch 9 | test_acc: 0.99 #####
############# Starting Epoch 10 | LR: 0.0009755282581475767 #############
Train-10 epoch | loss:0.25357675 | acc:0.9975
############# Starting Epoch 11 | LR: 0.0009704403844771127 #############
Train-11 epoch | loss:0.25309447 | acc:0.9977
##### Epoch 11 | test_acc: 0.9901 #####
############# Starting Epoch 12 | LR: 0.0009648882429441257 #############
Train-12 epoch | loss:0.25686354 | acc:0.9957
############# Starting Epoch 13 | LR: 0.0009588773128419905 #############
Train-13 epoch | loss:0.26676482 | acc:0.9933
##### Epoch 13 | test_acc: 0.9866 #####
############# Starting Epoch 14 | LR: 0.0009524135262330098 #############
Train-14 epoch | loss:0.25519463 | acc:0.9977
############# Starting Epoch 15 | LR: 0.0009455032620941839 #############
Train-15 epoch | loss:0.25368846 | acc:0.9990
##### Epoch 15 | test_acc: 0.9916 #####
############# Starting Epoch 16 | LR: 0.0009381533400219318 #############
Train-16 epoch | loss:0.24828752 | acc:0.9994
############# Starting Epoch 17 | LR: 0.0009303710135019719 #############
Train-17 epoch | loss:0.24829829 | acc:0.9997
##### Epoch 17 | test_acc: 0.9917 #####
############# Starting Epoch 18 | LR: 0.0009221639627510076 #############
Train-18 epoch | loss:0.24849266 | acc:0.9999
############# Starting Epoch 19 | LR: 0.000913540287137281 #############
Train-19 epoch | loss:0.24859756 | acc:0.9998
##### Epoch 19 | test_acc: 0.9921 #####
############# Starting Epoch 20 | LR: 0.0009045084971874739 #############
Train-20 epoch | loss:0.24854532 | acc:1.0000
############# Starting Epoch 21 | LR: 0.0008950775061878452 #############
Train-21 epoch | loss:0.24754711 | acc:1.0000
##### Epoch 21 | test_acc: 0.9926 #####
############# Starting Epoch 22 | LR: 0.0008852566213878947 #############
Train-22 epoch | loss:0.24819925 | acc:1.0000
############# Starting Epoch 23 | LR: 0.0008750555348152298 #############
Train-23 epoch | loss:0.24802698 | acc:1.0000
##### Epoch 23 | test_acc: 0.9927 #####
############# Starting Epoch 24 | LR: 0.0008644843137107057 #############
Train-24 epoch | loss:0.24683617 | acc:1.0000
############# Starting Epoch 25 | LR: 0.0008535533905932737 #############
Train-25 epoch | loss:0.24598262 | acc:1.0000
##### Epoch 25 | test_acc: 0.9929 #####
############# Starting Epoch 26 | LR: 0.0008422735529643444 #############
Train-26 epoch | loss:0.24885399 | acc:1.0000
############# Starting Epoch 27 | LR: 0.0008306559326618259 #############
Train-27 epoch | loss:0.24683317 | acc:1.0000
##### Epoch 27 | test_acc: 0.9927 #####
############# Starting Epoch 28 | LR: 0.0008187119948743449 #############
Train-28 epoch | loss:0.24666864 | acc:1.0000
############# Starting Epoch 29 | LR: 0.0008064535268264883 #############
Train-29 epoch | loss:0.24661526 | acc:1.0000
##### Epoch 29 | test_acc: 0.993 #####
############# Starting Epoch 30 | LR: 0.0007938926261462367 #############
Train-30 epoch | loss:0.24709892 | acc:1.0000
############# Starting Epoch 31 | LR: 0.0007810416889260654 #############
Train-31 epoch | loss:0.24638120 | acc:1.0000
##### Epoch 31 | test_acc: 0.9933 #####
############# Starting Epoch 32 | LR: 0.0007679133974894983 #############
Train-32 epoch | loss:0.24900141 | acc:1.0000
############# Starting Epoch 33 | LR: 0.0007545207078751857 #############
Train-33 epoch | loss:0.24684618 | acc:1.0000
##### Epoch 33 | test_acc: 0.993 #####
############# Starting Epoch 34 | LR: 0.0007408768370508577 #############
Train-34 epoch | loss:0.26952036 | acc:0.9936
############# Starting Epoch 35 | LR: 0.0007269952498697734 #############
Train-35 epoch | loss:0.31699703 | acc:0.9791
##### Epoch 35 | test_acc: 0.9837 #####
############# Starting Epoch 36 | LR: 0.0007128896457825364 #############
Train-36 epoch | loss:0.25801427 | acc:0.9959
############# Starting Epoch 37 | LR: 0.0006985739453173903 #############
Train-37 epoch | loss:0.25370221 | acc:0.9982
##### Epoch 37 | test_acc: 0.9926 #####
############# Starting Epoch 38 | LR: 0.0006840622763423391 #############
Train-38 epoch | loss:0.24949828 | acc:0.9996
############# Starting Epoch 39 | LR: 0.0006693689601226458 #############
Train-39 epoch | loss:0.24758407 | acc:0.9998
##### Epoch 39 | test_acc: 0.9922 #####
