=================================================================
------------------ Self-supervised pretraining ------------------
=================================================================
############# (SSP) Starting Epoch 0 | LR: 0.001 #############
Train-0 epoch | loss:0.54334253 | acc:0.7574
############# (SSP) Starting Epoch 1 | LR: 0.0009997532801828658 #############
Train-1 epoch | loss:0.38178192 | acc:0.7976
##### (SSP) Epoch 1 | test_acc: 0.8982 #####
############# (SSP) Starting Epoch 2 | LR: 0.0009990133642141358 #############
Train-2 epoch | loss:0.34435386 | acc:0.8026
############# (SSP) Starting Epoch 3 | LR: 0.00099778098230154 #############
Train-3 epoch | loss:0.32792833 | acc:0.8025
##### (SSP) Epoch 3 | test_acc: 0.8043 #####
############# (SSP) Starting Epoch 4 | LR: 0.000996057350657239 #############
Train-4 epoch | loss:0.31763860 | acc:0.8060
############# (SSP) Starting Epoch 5 | LR: 0.0009938441702975688 #############
Train-5 epoch | loss:0.30439873 | acc:0.8045
##### (SSP) Epoch 5 | test_acc: 0.863 #####
############# (SSP) Starting Epoch 6 | LR: 0.0009911436253643444 #############
Train-6 epoch | loss:0.30860459 | acc:0.8051
############# (SSP) Starting Epoch 7 | LR: 0.0009879583809693736 #############
Train-7 epoch | loss:0.30296353 | acc:0.8078
##### (SSP) Epoch 7 | test_acc: 0.7687 #####
############# (SSP) Starting Epoch 8 | LR: 0.0009842915805643154 #############
Train-8 epoch | loss:0.29744965 | acc:0.8118
############# (SSP) Starting Epoch 9 | LR: 0.0009801468428384714 #############
Train-9 epoch | loss:0.29551613 | acc:0.8098
##### (SSP) Epoch 9 | test_acc: 0.7781 #####
############# (SSP) Starting Epoch 10 | LR: 0.0009755282581475767 #############
Train-10 epoch | loss:0.29542156 | acc:0.8086
############# (SSP) Starting Epoch 11 | LR: 0.0009704403844771127 #############
Train-11 epoch | loss:0.29139044 | acc:0.8085
##### (SSP) Epoch 11 | test_acc: 0.8928 #####
############# (SSP) Starting Epoch 12 | LR: 0.0009648882429441257 #############
Train-12 epoch | loss:0.28899728 | acc:0.8103
############# (SSP) Starting Epoch 13 | LR: 0.0009588773128419905 #############
Train-13 epoch | loss:0.28905335 | acc:0.8093
##### (SSP) Epoch 13 | test_acc: 0.8251 #####
############# (SSP) Starting Epoch 14 | LR: 0.0009524135262330098 #############
Train-14 epoch | loss:0.28744514 | acc:0.8102
############# (SSP) Starting Epoch 15 | LR: 0.0009455032620941839 #############
Train-15 epoch | loss:0.28364297 | acc:0.8101
##### (SSP) Epoch 15 | test_acc: 0.9019 #####
############# (SSP) Starting Epoch 16 | LR: 0.0009381533400219318 #############
Train-16 epoch | loss:0.28386068 | acc:0.8113
############# (SSP) Starting Epoch 17 | LR: 0.0009303710135019719 #############
Train-17 epoch | loss:0.28666606 | acc:0.8084
##### (SSP) Epoch 17 | test_acc: 0.8509 #####
############# (SSP) Starting Epoch 18 | LR: 0.0009221639627510076 #############
Train-18 epoch | loss:0.28354291 | acc:0.8124
############# (SSP) Starting Epoch 19 | LR: 0.000913540287137281 #############
Train-19 epoch | loss:0.28307904 | acc:0.8099
##### (SSP) Epoch 19 | test_acc: 0.8988 #####
############# (SSP) Starting Epoch 20 | LR: 0.0009045084971874739 #############
Train-20 epoch | loss:0.28101819 | acc:0.8154
############# (SSP) Starting Epoch 21 | LR: 0.0008950775061878452 #############
Train-21 epoch | loss:0.28259527 | acc:0.8113
##### (SSP) Epoch 21 | test_acc: 0.8979 #####
############# (SSP) Starting Epoch 22 | LR: 0.0008852566213878947 #############
Train-22 epoch | loss:0.28033572 | acc:0.8115
############# (SSP) Starting Epoch 23 | LR: 0.0008750555348152298 #############
Train-23 epoch | loss:0.28158932 | acc:0.8128
##### (SSP) Epoch 23 | test_acc: 0.8889 #####
############# (SSP) Starting Epoch 24 | LR: 0.0008644843137107057 #############
Train-24 epoch | loss:0.27677558 | acc:0.8108
############# (SSP) Starting Epoch 25 | LR: 0.0008535533905932737 #############
Train-25 epoch | loss:0.27582729 | acc:0.8107
##### (SSP) Epoch 25 | test_acc: 0.8705 #####
############# (SSP) Starting Epoch 26 | LR: 0.0008422735529643444 #############
Train-26 epoch | loss:0.27843503 | acc:0.8109
############# (SSP) Starting Epoch 27 | LR: 0.0008306559326618259 #############
Train-27 epoch | loss:0.27681396 | acc:0.8141
##### (SSP) Epoch 27 | test_acc: 0.9234 #####
############# (SSP) Starting Epoch 28 | LR: 0.0008187119948743449 #############
Train-28 epoch | loss:0.27250537 | acc:0.8135
############# (SSP) Starting Epoch 29 | LR: 0.0008064535268264883 #############
Train-29 epoch | loss:0.27622444 | acc:0.8125
##### (SSP) Epoch 29 | test_acc: 0.795 #####
############# (SSP) Starting Epoch 30 | LR: 0.0007938926261462367 #############
Train-30 epoch | loss:0.27570899 | acc:0.8134
############# (SSP) Starting Epoch 31 | LR: 0.0007810416889260654 #############
